Date,Open,High,Low,Close,EMA10,Smoothing Line10,EMA40,Smoothing Line40,Basis,Upper,Lower,Volume,Volume MA,RSI,RSI-based MA,ROC,Williams,Histogram,MACD,Signal,CCI,Smoothing Line,Disparity Index,SES,Sentiment Avg,H/L%
1/2/14,87.55,87.58,87.02,87.27,85.08266614,84.81909458,87.08074584,86.83885014,86.3125,88.32516863,84.29983137,29190009,30944714.55,63.67870313,64.31725039,2.094057089,-17.64705882,0.038650397,0.954563929,0.915913531,72.72382037,127.3727531,0.843540559,87.44532677,0.113728313,0.006435302
1/3/14,87.27,87.35,86.62,86.64,85.15863365,84.94284606,87.00061024,86.93287738,86.37,88.3508483,84.3891517,35727317,30871419.4,60.19760836,64.30489753,1.440112399,-33.75959079,-0.044364653,0.860457715,0.904822368,21.05263158,94.93028927,-0.023078698,87.39272874,0.119838197,0.008427615
1/6/14,86.65,86.76,86,86.32,85.21528566,85.04885357,86.87686292,86.96617241,86.417,88.34557564,84.48842436,32092437,30484574.35,58.5104535,64.21524302,0.970873786,-41.94373402,-0.122741956,0.751394923,0.874136879,-7.957015709,65.80463955,-0.512879617,87.16691012,0.127939317,0.008837209
1/7/14,86.7,87.25,86.56,87.12,85.30819856,85.14705584,86.92106966,86.9835956,86.473,88.41488671,84.53111329,25913225,29938091.2,61.32456525,64.20426057,2.037947997,-21.48337596,-0.122348202,0.721201626,0.843549828,52.15638855,54.47184186,0.2605815,86.91283708,0.135343192,0.007971349
1/8/14,87.11,87.55,86.945,87.31,85.40584741,85.23412628,86.99178427,86.97421459,86.521,88.49553691,84.54646309,27209991,30168595.6,61.96090183,64.30783917,1.523255814,-16.62404092,-0.111252837,0.704483782,0.815736619,61.1627907,39.8277231,0.301147973,86.97498596,0.141565142,0.006958422
1/9/14,87.62,87.64,86.72,87.02,85.48458656,85.31451037,86.9969144,86.9574483,86.5575,88.54057715,84.57442285,23695690,30005083.7,60.38610858,64.0538111,0.775911986,-38.52459016,-0.124410457,0.660223548,0.784634005,35.45080004,32.37311903,-0.104136772,87.07549017,0.147165617,0.010608856
1/10/14,87.24,87.4,86.58,87.3,85.57314331,85.3974123,87.05202087,86.96773043,86.6635,88.56571213,84.76128787,38012069,30064158.9,61.37051665,63.96788019,1.170471665,-29.59641256,-0.115420009,0.640358994,0.755779003,51.80166433,38.52292558,0.102379295,87.05884312,0.151719078,0.009471009
1/13/14,87.18,87.48,85.675,86.01,85.5944534,85.47324585,86.86256253,86.96487035,86.716,88.48020407,84.95179593,48855231,30823790.6,54.84940449,63.27539273,0.974407138,-85.33916849,-0.192949542,0.514592075,0.707541617,-61.81595307,27.75113811,-1.337200728,87.13119018,0.152705954,0.021067989
1/14/14,86.3,87.72,86.3,87.65,85.69472396,85.55055093,87.00573298,86.98180301,86.856,88.44095931,85.27104069,37194076,30979723.65,60.40405968,62.78572254,3.166195857,-13.56673961,-0.133218371,0.541018654,0.674237024,77.07241312,32.73434302,0.524289342,86.79483313,0.150381312,0.016454229
1/15/14,88,88.54,87.94,88.37,85.82522523,85.63442649,87.25378153,87.03420246,87.0085,88.55951612,85.45748388,39859705,31727292.7,62.50698135,62.43811459,4.148497348,-5.933682373,-0.048994675,0.612993681,0.661988356,141.8339974,48.86858437,1.273718505,87.05138319,0.147435372,0.006822834
1/16/14,88.28,88.51,88.16,88.38,85.94984839,85.72747886,87.45854852,87.12652929,87.17,88.57951055,85.76048945,34260219,32217559,62.53567912,62.03299871,3.58649789,-5.584642234,0.000966443,0.663196409,0.662229966,141.2726211,70.03294859,1.232143734,87.44696823,0.143761434,0.003970054
1/17/14,88.12,88.3701,87.67,87.88,86.04400213,85.82165062,87.53517607,87.22316033,87.257,88.61533869,85.89866131,36908236,30643609.05,60.14533632,61.55329575,3.20610687,-23.03664921,-0.005715815,0.655085197,0.660801013,78.52776202,75.37816813,0.62979503,87.72687776,0.138703747,0.007985628
1/21/14,88.43,88.59,87.81,88.55,86.16624593,85.93600913,87.71968951,87.39458572,87.3895,88.70894647,86.07005353,26432336,29640748.1,62.15813379,61.27450969,2.79777107,-1.372212693,0.027128946,0.694712195,0.667583249,154.2551424,118.5923872,1.300887414,87.77281443,0.136206174,0.008882815
1/22/14,88.75,89,88.52,88.78,86.29374613,86.05581356,87.91247323,87.57593377,87.5035,88.88820611,86.11879389,29425432,29088247.85,62.82738247,60.91827389,3.352735739,-6.616541353,0.054885095,0.736189618,0.681304523,160.6114938,135.3002034,1.495998693,88.0059701,0.132712953,0.005422503
1/23/14,88.5,88.52,87.86,88.48,86.40039266,86.17084705,88.01565992,87.72830945,87.557,89.00438523,86.10961477,35077428,29433031.05,61.35755336,60.75247748,2.289017341,-15.63909774,0.044048322,0.736364925,0.692316603,106.5143385,128.2362716,1.053181162,88.23817907,0.129020106,0.007511951
1/24/14,88.06,88.18,86.71,86.74,86.41695887,86.26426914,87.78372175,87.7933441,87.5215,89.01183251,86.03116749,64334902,31957152.4,53.77957051,60.29404621,-0.766502688,-67.96992481,-0.082407497,0.589307232,0.671714729,-85.45886984,82.88997337,-0.942157255,88.31072535,0.123192565,0.016953062
1/27/14,86.77,86.89,85.25,85.9,86.39174136,86.33381699,87.44122689,87.77455426,87.4295,89.0737442,85.7852558,63676475,34378921.35,50.64388124,59.73214819,-1.772441395,-82.66666667,-0.21707835,0.400366792,0.617445141,-152.0869068,36.76703961,-1.867824299,87.83950775,0.117769942,0.019237537
